Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted net national income (current US$);Adjusted savings_education expenditure (% of GNI);Adjusted savings_education expenditure (current US$);Age dependency ratio (% of working-age population);Age dependency ratio, old (% of working-age population);Age dependency ratio, young (% of working-age population);Agricultural machinery, tractors per 100 sq. km of arable land;Exports of goods and services (% of GDP);External balance on goods and services (% of GDP);Final consumption expenditure (% of GDP);Fixed telephone subscriptions (per 100 people);Foreign direct investment, net inflows (% of GDP);Foreign direct investment, net inflows (BoP, current US$);Foreign direct investment, net outflows (% of GDP);Foreign direct investment, net outflows (BoP, current US$);GDP (constant 2010 US$);GDP per capita (constant 2010 US$);General government final consumption expenditure (% of GDP);GNI (current LCU);GNI per capita (current LCU);Gross capital formation (% of GDP);Gross fixed capital formation (% of GDP);Gross national expenditure (% of GDP);Imports of goods and services (% of GDP);Inflation, GDP deflator (annual %);Lower secondary school starting age (years);Merchandise exports by the reporting economy (current US$);Merchandise exports to high-income economies (% of total merchandise exports);Merchandise imports by the reporting economy (current US$);Merchandise imports from high-income economies (% of total merchandise imports);Merchandise trade (% of GDP);Population, total;Preprimary education, duration (years);Primary education, duration (years);Primary school starting age (years);Real effective exchange rate index (2010 = 100);Secondary education, duration (years);Trade (% of GDP);Urban population (% of total population);AI_publications;AI_patents
1980;Australia;37;0;15;3;0;2;0;1;7;16;17;2;17;20;17;90;33;59;61;193;1,21E+11;5;7400000000;53,66750961;14,78862559;38,87888402;;16,43543144;0,52669558;73,20473431;32,50980488;1,246018917;1866223965;1,246018917;1866223965;4,39E+11;29907,78635;17,23886537;1,33E+11;9051,388511;27,12482239;26,44487922;100,3295567;15,90873586;10,01594997;12;22055600000;71,11581639;22400110000;87,76144403;29,60642338;14692000;1;6;6;92,31217448;6;32,34416729;85,552;1;0
1981;Australia;73;2;6;5;0;3;0;0;2;16;23;0;23;27;23;101;35;73;75;220;1,45E+11;5;8800000000;52,81220213;14,94827245;37,86392968;;14,9084408;-1,831841306;73,8882097;34,30505948;1,328417227;2346546543;1,328417227;2346546543;4,54E+11;30419,53253;17,83531175;1,52E+11;10156,29396;28,71790827;28,43659213;102,606118;16,7402821;9,525604285;12;21817990000;73,27311086;26175660000;89,73924631;26,99919785;14927000;1;6;6;100,2579799;6;31,6487229;85,7;0;0
1982;Australia;29;3;18;9;0;0;1;4;2;7;17;2;17;24;20;92;30;78;62;215;1,56E+11;5;9500000000;52,30609572;15,06974391;37,23635181;;13,53764506;-3,29187878;73,88420058;35,76005536;1,179913551;2286321730;1,179913551;2286321730;4,69E+11;30912,22222;17,76395959;1,72E+11;11347,87192;29,87575022;28,99313267;103,7599508;16,82952384;11,7095513;12;22092270000;71,82648048;26519870000;89,03622077;24,78553538;15178000;1;6;6;100,6520163;6;30,3671689;85,67;0;0
1983;Australia;48;1;7;2;0;1;0;0;0;6;14;5;19;33;18;118;29;111;63;219;1,44E+11;5;8800000000;51,99707181;15,1789385;36,81813331;;13,59135533;-2,032174331;77,79516486;36,80025741;1,68951986;2990964045;1,68951986;2990964045;4,59E+11;29850,19433;18,67760643;1,88E+11;12211,7249;25,33609647;26,58585196;103,1312613;15,62352966;10,15780775;12;20665750000;75,09787934;21383070000;90,54270505;23,48240536;15369000;1;6;6;98,60079193;6;29,21488499;85,641;0;0
1984;Australia;24;5;11;6;0;0;0;0;3;5;19;8;18;29;25;130;32;100;66;220;1,57E+11;5,1;9741000000;51,65659265;15,31039843;36,34619422;;13,57684485;-1,428450918;75,19659946;37,93380685;0,221613378;428250491;0,221613378;428250491;4,8E+11;30866,25182;18,34350308;2,11E+11;13560,08749;26,66910366;26,07344712;101,8657031;15,00529577;7,863203181;12;23892380000;74,47349322;25784310000;89,94097573;25,37230924;15544000;1;6;6;101,7172538;6;28,58214061;85,611;0;0
1985;Australia;31;1;2;7;0;0;0;0;1;14;33;2;21;54;33;108;35;116;61;283;1,44E+11;5;8900000000;51,20214243;15,48388428;35,71825815;;15,25628586;-2,049180328;74,1845837;39,49800886;1,164384384;2098624894;1,164384384;2098624894;5,05E+11;32045,31602;18,91757316;2,32E+11;14701,16766;28,06504605;27,07726878;102,2496297;17,30546618;4,627898181;12;22625810000;74,42809782;25865420000;91,12397943;26,90547133;15758000;1;6;6;85,60655317;6;32,56175204;85,582;5;0
1986;Australia;37;6;8;8;0;1;0;0;1;6;43;1;23;44;45;110;35;156;58;254;1,45E+11;4,9;8771000000;51,02335147;15,6739063;35,34944517;;15,008838;-3,071395635;75,37772825;40,84459615;2,949819022;5369760089;2,949819022;5369760089;5,25E+11;32797,09464;19,00245927;2,56E+11;15956,27528;28,54711036;28,20742392;103,9248386;18,08023363;6,455740268;12;22552590000;74,20912631;26237200000;90,97899166;26,73798063;16018400;1;6;6;74,87977121;6;33,08907163;85,552;4;0
1987;Australia;26;0;12;9;0;0;0;0;1;9;29;5;17;32;28;130;26;109;75;314;1,51E+11;4,7;8742000000;50,60887513;15,88179612;34,727079;;15,49274084;-1,59953519;75,78751733;42,11969498;2,745431403;5190522203;2,745431403;5190522203;5,39E+11;33126,79271;18,95151693;2,8E+11;17245,55611;27,41645316;27,99641592;103,2039705;17,09227603;7,052982861;12;26550380000;77,57715709;29717810000;89,06830618;29,58790681;16263900;1;6;6;74,72647108;6;32,58501687;85,522;2;0
1988;Australia;50;4;10;5;0;0;0;0;0;9;36;6;22;61;39;105;37;117;56;341;1,89E+11;4,6;10626000000;50,10821698;16,09989212;34,00832486;;15,98690914;-0,660718145;73,45209793;43,10381161;3,596879461;8476377245;3,596879461;8476377245;5,7E+11;34460,03653;18,0623051;3,18E+11;19223,27337;28,02772546;27,82117386;101,4798234;16,64762728;7,209393684;12;32764430000;78,81098496;36670980000;89,50592539;29,41875427;16532200;1;6;6;82,66639975;6;32,63453642;85,493;3;0
1989;Australia;42;0;6;0;1;1;0;0;7;0;41;13;26;57;34;128;33;173;60;378;2,38E+11;4,5;13095000000;49,73954275;16,32041149;33,41913126;;15,14838204;-1,833586827;71,87801845;44,39384279;2,680931833;8023170407;1,010622595;3024469775;5,92E+11;35191,11444;17,39309065;3,57E+11;21254,75783;29,67015027;28,75703002;101,5481687;16,98196887;9,251755909;12;37208062255;76,43533482;45035003457;88,98542286;27,41957272;16814400;1;6;6;88,70880925;6;32,13035091;85,463;8;1
