Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Adjusted_savings_education_expenditure_(current_US$);Age_dependency_ratio_(%_of_working_age_population);Age_dependency_ratio_old_(%_of_working_age_population);Age_dependency_ratio_young_(%_of_working_age_population);Agricultural_machinery_tractors_per_100_sq_km_of_arable_land;Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_inflows_(BoP_current_US$);Foreign_direct_investment_net_outflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(BoP_current_US$);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_by_the_reporting_economy_(current_US$);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_by_the_reporting_economy_(current_US$);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
1980;Australia;37;0;15;3;0;2;0;1;7;16;17;2;17;20;17;90;33;59;61;193;1,21E+11;5;7400000000;53,67;14,79;38,88;;16,44;0,53;73,2;32,51;1,25;1866223965;1,25;1866223965;4,39E+11;29907,79;17,24;1,33E+11;9051,39;27,12;26,44;100,33;15,91;10,02;12;22055600000;71,12;22400110000;87,76;29,61;14692000;1;6;6;92,31;6;32,34;85,55;1;0
1981;Australia;73;2;6;5;0;3;0;0;2;16;23;0;23;27;23;101;35;73;75;220;1,45E+11;5;8800000000;52,81;14,95;37,86;;14,91;-1,83;73,89;34,31;1,33;2346546543;1,33;2346546543;4,54E+11;30419,53;17,84;1,52E+11;10156,29;28,72;28,44;102,61;16,74;9,53;12;21817990000;73,27;26175660000;89,74;27;14927000;1;6;6;100,26;6;31,65;85,7;0;0
1982;Australia;29;3;18;9;0;0;1;4;2;7;17;2;17;24;20;92;30;78;62;215;1,56E+11;5;9500000000;52,31;15,07;37,24;;13,54;-3,29;73,88;35,76;1,18;2286321730;1,18;2286321730;4,69E+11;30912,22;17,76;1,72E+11;11347,87;29,88;28,99;103,76;16,83;11,71;12;22092270000;71,83;26519870000;89,04;24,79;15178000;1;6;6;100,65;6;30,37;85,67;0;0
1983;Australia;48;1;7;2;0;1;0;0;0;6;14;5;19;33;18;118;29;111;63;219;1,44E+11;5;8800000000;52;15,18;36,82;;13,59;-2,03;77,8;36,8;1,69;2990964045;1,69;2990964045;4,59E+11;29850,19;18,68;1,88E+11;12211,72;25,34;26,59;103,13;15,62;10,16;12;20665750000;75,1;21383070000;90,54;23,48;15369000;1;6;6;98,6;6;29,21;85,64;0;0
1984;Australia;24;5;11;6;0;0;0;0;3;5;19;8;18;29;25;130;32;100;66;220;1,57E+11;5,1;9741000000;51,66;15,31;36,35;;13,58;-1,43;75,2;37,93;0,22;428250491;0,22;428250491;4,8E+11;30866,25;18,34;2,11E+11;13560,09;26,67;26,07;101,87;15,01;7,86;12;23892380000;74,47;25784310000;89,94;25,37;15544000;1;6;6;101,72;6;28,58;85,61;0;0
1985;Australia;31;1;2;7;0;0;0;0;1;14;33;2;21;54;33;108;35;116;61;283;1,44E+11;5;8900000000;51,2;15,48;35,72;;15,26;-2,05;74,18;39,5;1,16;2098624894;1,16;2098624894;5,05E+11;32045,32;18,92;2,32E+11;14701,17;28,07;27,08;102,25;17,31;4,63;12;22625810000;74,43;25865420000;91,12;26,91;15758000;1;6;6;85,61;6;32,56;85,58;5;0
1986;Australia;37;6;8;8;0;1;0;0;1;6;43;1;23;44;45;110;35;156;58;254;1,45E+11;4,9;8771000000;51,02;15,67;35,35;;15,01;-3,07;75,38;40,84;2,95;5369760089;2,95;5369760089;5,25E+11;32797,09;19;2,56E+11;15956,28;28,55;28,21;103,92;18,08;6,46;12;22552590000;74,21;26237200000;90,98;26,74;16018400;1;6;6;74,88;6;33,09;85,55;4;0
1987;Australia;26;0;12;9;0;0;0;0;1;9;29;5;17;32;28;130;26;109;75;314;1,51E+11;4,7;8742000000;50,61;15,88;34,73;;15,49;-1,6;75,79;42,12;2,75;5190522203;2,75;5190522203;5,39E+11;33126,79;18,95;2,8E+11;17245,56;27,42;28;103,2;17,09;7,05;12;26550380000;77,58;29717810000;89,07;29,59;16263900;1;6;6;74,73;6;32,59;85,52;2;0
1988;Australia;50;4;10;5;0;0;0;0;0;9;36;6;22;61;39;105;37;117;56;341;1,89E+11;4,6;10626000000;50,11;16,1;34,01;;15,99;-0,66;73,45;43,1;3,6;8476377245;3,6;8476377245;5,7E+11;34460,04;18,06;3,18E+11;19223,27;28,03;27,82;101,48;16,65;7,21;12;32764430000;78,81;36670980000;89,51;29,42;16532200;1;6;6;82,67;6;32,63;85,49;3;0
1989;Australia;42;0;6;0;1;1;0;0;7;0;41;13;26;57;34;128;33;173;60;378;2,38E+11;4,5;13095000000;49,74;16,32;33,42;;15,15;-1,83;71,88;44,39;2,68;8023170407;1,01;3024469775;5,92E+11;35191,11;17,39;3,57E+11;21254,76;29,67;28,76;101,55;16,98;9,25;12;37208062255;76,44;45035003457;88,99;27,42;16814400;1;6;6;88,71;6;32,13;85,46;8;1
